Type,Name,Date Added,Modified History,Description,,,Keywords Tvesha Desai's Additions ,Sources,Deletations ,Jermin deletions ,Hirans deletions,Jessica Deletions,Jessica Additions,Jessica-Source
Theme,ACT_FORCEPOSTURE,01/10/14,01/10/14,Actions relating to changes in force posture,,,"Criminal Justice, Representative Democracy, global defense posture, Department of Defense, Department's Global Defense Posture (GDP), Anticipated host nation contributions",https://www.gao.gov/products/gao-09-706r,,None,"above the law, federal government, Tort law",None,,
Theme,ACT_HARMTHREATEN,01/10/14,01/10/14,Actions relating to harming or threatening,,,"
legal actions, Intimidation, Stalking ",https://www.legalmatch.com/law-library/article/verbal-threats-as-assault.html,,None,"Exploit, disciplinary, adverse actions",None,,
Theme,ACT_MAKESTATEMENT,01/10/14,01/10/14,Actions relating to making a statement,,,"Defamation, False Statements, law and morality, Prosecution, Influencing action, false claim statutes",https://www.justice.gov/archives/jm/criminal-resource-manual-814-false-statements-18-usc-1014,,None,knowingly false,"law and morality, Prosecution",,
Theme,ACT_YIELD,01/10/14,01/10/14,Actions relating to yielding,,,"Emergency vehicles, Railway crossings, Steep fines, Driving record impact, Location of impact, Crosswalk ",https://attorneyguss.com/yielding-and-right-of-way/,None,None,Insurance Increases,None,,
Count,AFFECT,13/10/13,13/10/13,"This broad category captures everything from being sickened to refugees, evacuations, displaced persons, stranded, etc",,,"Humantarian Evacuations, Strategy for Communities at Risk,Safe Passage, humanely treatment",https://www.refworld.org/pdfid/57fe09284.pdf,,,"Ethical, Political and Logistical Implications, Persons Of Concern",None,,
Theme,AGRICULTURE,13/10/13,13/10/13,General discussion of agriculture,,,"sustainable agriculture,commercial farming,agricultural economics,climate smart agriculture,agricultural water management,natural farming,organic farming",https://www.worldbank.org/en/topic/agriculture/overview,,None,"Boost shared prosperity,Mitigation",None,,
Theme,ALLIANCE,18/05/14,18/05/14,Self-identified discussion of alliances and coalitions,,,"NGO collaboration, strengthen political voice and power, Building Consensus, Multivoting

",https://justassociates.org/wp-content/uploads/2007/08/new_weave_en_ch17.pdf,,improve communication,"Decisionmaking table,improve communication, respond to a local crisis, Expectation of unity",None,,
Theme,APPOINTMENT,13/10/13,13/10/13,An appointment of someone to something,,, assign authority to a position or an office,,"An appointment of someone to something, ",to designate,select,None,,
Theme,ARMEDCONFLICT,13/10/13,13/10/13,"Primary discussion of armed conflict, from ground assaults to air raids",,,Warfare prohibited,https://www.icrc.org/en/doc/assets/files/other/law3_final.pdf,,None,"Conduct of operations, Directed at a specific military objective, Reprisals",None,,
Count,ARREST,13/10/13,13/10/13,"Discussion of someone being arrested, detained, jailed, imprisoned, etc",,,"Imprisonment and poverty, social cohesion, non-custodial sanctions, deprivation,.socio-economic exclusion,social transformation in families",https://www.unodc.org/unodc/en/justice-and-prison-reform/prison-reform-and-alternatives-to-imprisonment.html,,None,None,None,,
Theme,ASSASSINATION,13/10/13,13/10/13,Actual discussion of assassination,,,"Political Violence, Civil War,Political Turmoil,Government Investigations,Conspirancy,Purported assassin",https://www.justice.gov/crt/overview-investigation-allegations-regarding-assassination-dr-martin-luther-king-jr,,Instibality,Instibality,None,,
Theme,AUSTERITY,20/02/14,20/02/14,Mention of austerity,,,"Austerity policy,navigating austerity,conservative austerity, Decrease in government spending,

",https://www.americanprogress.org/article/what-have-we-learned-about-austerity-since-the-great-recession/,,None,"public sector debt,Increase in taxes",None,,
Theme,AVIATION_INCIDENT,20/02/14,20/02/14,"Plane/helicopter crashes, collisions, accidents.",,,"Riskier Flights, Risk of Poor Weather, Mid-air collision",https://www.baileyjavinscarter.com/helicopter-crashes-why-helicopters-are-so-dangerous/,,,"Difficult to Fly, More Frequent Takeoffs and Landings, Complicated Machinery",None,,
Theme,BAN,13/10/13,13/10/13,"Something being banned, prohibited, outlawed, criminalized, etc",,,Customs Border and Protection,https://www.cbp.gov/travel/us-citizens/know-before-you-go/prohibited-and-restricted-items,,illegal,"illegal, cryptocurrency",None,,
Theme,BLACK_MARKET,13/10/13,13/10/13,"Actual mentions of ""black market"", not related terms",,,"Black market fashion,Gambling at unregulated casinos,Wildlife Trade,Mining,Fishing,Logging,Drugs,Firearms and Explosives,Online Trading
",https://www.theverge.com/2013/4/29/4281656/silk-road-black-market-reloaded-tor-marketplaces,,,", Cryptocurrency","Mining,Fishing,Logging",,
Theme,BLOCKADE,13/10/13,13/10/13,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades,,,Airpower and the Range of Military Operations,https://www.doctrine.af.mil/Portals/61/documents/AFDP_3-0/3-0-AFDP-OPERATIONS-PLANNING.pdf,,None,"Desired Future Conditions,Multinational Power",None,,
Theme,BORDER,13/10/13,13/10/13,Any discussion of borders,,,"Margin,Sociopolitical,Economic developments,National borders,regional economic recessions,economic shift,racialization,deterritorialization, ",https://www.icrc.org/en/event/humanizing-borders,Any discussions of Borders ,,,Economic developments,,
Theme,BULLYING,20/12/13,20/12/13,"Explicit mention of the word ""bullying/cyberbullying""",,,"Intimidation, threats, physical contact,physical violence",https://www.stopbullying.gov/resources/laws/federal,,None,"race, color, national origin, sex, disability, religion",None,,
Theme,CEASEFIRE,13/10/13,13/10/13,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc",,,"Disengagement and redeployment of forces to designated areas, withdrawal of forces to designated areas, Humanitarian Provisions",https://casebook.icrc.org/glossary/ceasefire,,Specification of the forces to which the ceasefire applies,"A mechanism for monitoring and verification, list of prohibited and regulated activities, Specification of the forces to which the ceasefire applies,",None,,
Theme,CHARASMATIC_LEADERSHIP,06/05/14,06/05/14,Charasmatic leadership,,,"
Strong Communicator, Confident,Motivational,Engaging,Optimistic,Persuasion,Leadership",https://torch.io/blog/what-is-charismatic-leadership/,,Management,"Service of a common goal, influence,spirit of collaboration, rational,unconventional behavior,Management",None,,
Theme,CHECKPOINT,13/10/13,13/10/13,Security checkpoints,,,"Transportation Check,Liquids Rule, Electrical Gadgets,Explosives,Secure Flight,Suspicious Activity ",https://www.tsa.gov/travel/security-screening,,None,None,None,,
Theme,CLAIM_CREDIT,13/10/13,13/10/13,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)",,,"Gross Negligence,Willful Misconduct,officials,agents,servants,employees, patented inventions,devices,products liability ",https://www.irs.gov/publications/p17,,None,"Tax laws enacted by Congress,Treasury regulations and Court decisions.","servants,employees",,
Theme,CLOSURE,13/10/13,13/10/13,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)",,,Road Traffic ,https://www1.nyc.gov/html/dot/html/motorist/weektraf.shtml,,Expect delays,"Infrastructure, Construction",None,,
Theme,CONFISCATION,13/10/13,13/10/13,Actual mention of confiscation in the text,,,"Convicted,Defendant,forfeiture order,restraint order,criminal proceedings,",https://www.senate.gov/artandhistory/history/common/generic/ConfiscationActs.htm,,None,Seized,None,,
Theme,CONSTITUTIONAL,13/10/13,13/10/13,Discussion of constitutionalism,,,"Antifederalists,Strict Constructionism,Constitutional powers,Political Constitution",https://www.archives.gov/founding-docs/constitution-transcript,,None,"Enumerated Powers,",None,,
